Sample,CO2_T0,CO2_T1,CO2_T2,CO2_T3,CO2_T4,CO2_T5,CO2_T6,CO2_T7,CO2_T8,CO2_T9,CO2_T10,CO2_T11,CO2_T12,CO2_T13,CO2_T14,CO2_T15,CO2_T16,,,,,,,,
A7_6,728.70685800,757.48122360,1200.55526400,1524.84522192,1588.93712640,1150.29471290,1326.78122160,1664.17150570,1539.30913900,3096.04331980,5302.48113100,1371.31672940,1510.28198600,1067.38515100,4864.75327954,5233.13556411,4879.88258410,,,,,,,,
A10_4,731.09396400,470.19270528,775.13840400,1067.14442448,1215.02589840,1028.63298000,1455.64715880,1262.06083850,1779.68860700,3744.16409930,5051.66641900,1719.53167310,1798.31834600,1213.66687470,5099.95214177,5065.31381143,3959.19733150,,,,,,,,
A10_5,713.52570840,448.24492080,1666.70248800,2476.44673104,2981.93294160,2193.27770670,2666.88545070,3164.09344400,4179.66881900,4245.90963550,6156.63925900,1791.04489150,2312.17916480,1864.26814070,5615.18591314,5329.45353154,4172.70089800,,,,,,,,
A10_6,737.99212200,391.75186464,851.52457920,1133.07598416,1557.79223760,1159.23204960,1424.94871830,1747.03035190,2540.77360300,1550.59382550,3993.50221900,1177.81994280,1292.73267080,752.95505880,4019.47383154,3975.85514349,3028.32289450,,,,,,,,
A12_4,727.30501080,859.03623288,1233.23396880,1398.95476560,1913.47295760,1484.44484510,1687.16164200,2109.33017060,2731.09629500,3372.31999870,5508.24333100,4061.02340230,1916.09441720,1003.11670280,5255.20345543,5500.78529057,4327.17456430,,,,,,,,
A12_5,718.13920920,865.40687424,1140.55992480,1399.07037648,1844.81133120,1507.15433620,1647.30699990,1988.46170450,2660.42415500,3734.24736540,6185.75133100,2188.78338460,1850.92630040,1172.15639680,5988.97197291,6050.96287834,4870.07386480,,,,,,,,
A12_6,794.47751880,850.09950792,1219.96474320,1403.75526096,1968.15715920,1418.38939340,1742.82784350,2041.29410300,2875.58735500,3820.46659330,6084.55737100,1796.10051220,2156.00441180,1043.58150700,6303.85518051,5998.92401674,5124.70153630,,,,,,,,
A1_7,778.38332640,1498.79019096,1720.15289760,2179.24706256,1993.55668560,1445.66556300,1599.42959760,1615.44627480,2011.90403100,1965.96963420,2145.67883500,1952.66474730,444.71020040,218.25368590,2276.26574229,2608.45184657,1959.82922260,,,,,,,,
A1_8,695.36675040,1493.31987360,1771.85040240,1972.13614416,2029.18055040,1501.00319390,1677.26050530,1634.85624330,2047.87078700,2030.87820910,2257.71870700,1931.84976090,490.15945460,237.84967890,2554.24308497,2706.59080680,2089.47905380,,,,,,,,
A1_9,762.89948160,1645.80464160,1866.33126480,2062.00999248,2218.91047920,1672.18449120,1963.78427010,1944.57688590,2340.92780300,2023.88986710,2481.35418700,2327.18995810,499.34727320,253.57458370,2873.00371269,2985.57366103,2478.65230180,,,,,,,,
A5_7,744.74823480,466.15598568,921.96995520,1429.87587792,2410.87801680,1676.79767980,2796.18463890,2892.97775410,4381.92334700,4252.14058500,4416.64602700,3725.24498270,989.38297880,424.28233620,3943.77352560,4005.80940377,3253.23334270,,,,,,,,
A5_8,673.43358840,544.58932896,931.46244240,1388.90758608,2159.02575360,2253.94987660,2396.84791020,3231.88729180,4092.34146700,3979.22720570,3997.31812300,1152.00261360,847.30508780,396.16481430,3665.55169526,3681.42382011,2950.72461100,,,,,,,,
A5_9,828.86940960,476.64799632,841.58361120,1267.54651728,2177.75515680,2428.77238480,2794.20167610,3345.13480430,3756.02828700,3682.26903040,3802.19125900,2889.73332260,839.89783040,435.96691830,3605.82540154,3586.24005891,3076.65122050,,,,,,,,
A7_7,706.98471360,1168.42869864,1573.60614240,2027.87122896,2732.38101360,2038.80198190,2266.92854790,2454.07905370,3089.19011500,3456.05523020,3619.37908300,1206.79613030,953.60694440,444.00775440,4167.43497549,4682.19229714,4422.12569650,,,,,,,,
A7_8,706.73691480,1088.08340040,1538.75903520,2012.59590480,2511.01734480,1922.07271370,2333.73031020,2210.90769140,2832.27684300,2978.64710580,4488.57337900,3728.26789220,1348.77904280,544.69500880,4789.77678240,5406.76644257,4425.77774350,,,,,,,,
A7_9,742.16914440,2863.58602392,3137.56606560,3278.98227408,3519.59357520,3326.87270490,2796.43457040,2486.20854270,3155.12759500,5066.14513100,6553.32736300,1862.49816300,1978.27115300,927.27119690,6265.41514920,6657.00173846,5948.32884670,,,,,,,,
A10_7,669.50087640,760.86061056,1320.42204480,1789.79030352,2471.98104720,1282.77948160,2814.37394640,2891.20730020,2435.97495100,4349.23182770,5940.06558700,4745.16200160,2103.80928320,893.85487470,5924.31726703,6812.69506149,5252.62446370,,,,,,,,
A10_8,730.84090200,737.40694608,1287.36750000,1873.38663120,2622.95442000,2073.16049880,3006.99376470,3562.21792420,3950.38692700,4969.45503650,5947.06566700,5131.78912560,1600.43407460,842.79850940,5584.96594303,6039.49963629,4981.49762680,,,,,,,,
A10_9,741.49674000,703.17457704,1271.83656000,1809.83805264,2433.37780800,1942.05787360,2723.32626240,3059.86136740,3967.12020300,4440.87945770,5793.96460300,1791.71747250,1906.95628940,752.11456880,6262.25840451,6468.78340046,5723.66881000,,,,,,,,
A12_7,715.02272160,1330.32496032,1902.47016000,2292.10077648,2781.72240300,2404.69566080,3161.73764490,3404.86558180,4861.39050300,5626.26478340,7679.76477100,7079.21372030,3338.97063500,1646.97474220,8221.39397846,8841.08261640,7680.66265180,,,,,,,,
A12_8,674.73421080,1278.14685912,1813.40074560,2553.42921552,2839.70303280,2388.61370440,2960.22498810,3543.50570020,4818.73233500,5521.42848390,6716.27802700,2412.52601280,931.73976740,996.72048680,6348.79776206,6989.97386743,5814.34272910,,,,,,,,
A12_9,743.29816200,1310.50424736,1867.98068400,2166.92017488,2870.88226560,2127.36424920,3028.82036040,3807.14910820,4823.70370700,5616.56963230,8147.77727500,6028.03519580,1115.36197940,1300.32080620,7490.42263011,7670.72036023,6880.04834050,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
